epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,69.9871,0.47949,0.37248,0.45615,0.91461,0.99089,1,0.995,0.94078,0.99089,1,0.995,0.995,0.35955,0.23476,0.30555,0.72482,0.0009011,0.0009011,0.0009011
57,71.0437,0.45891,0.29831,0.38298,0.86228,0.99089,1,0.995,0.94078,0.99089,1,0.995,0.995,0.35955,0.23476,0.30555,0.72482,0.00088112,0.00088112,0.00088112
58,72.1062,0.44553,0.40382,0.39379,0.8695,0.9904,1,0.995,0.93938,0.9904,1,0.995,0.995,0.30723,0.24407,0.29891,0.69993,0.00086114,0.00086114,0.00086114
59,73.1719,0.41809,0.2928,0.40737,0.89721,0.98965,1,0.995,0.995,0.98965,1,0.995,0.995,0.31444,0.22427,0.33387,0.72645,0.00084116,0.00084116,0.00084116
60,74.2993,0.38722,0.2805,0.40697,0.86224,0.9903,1,0.995,0.93953,0.9903,1,0.995,0.995,0.32853,0.22113,0.28111,0.72983,0.00082118,0.00082118,0.00082118
61,75.3563,0.38759,0.28767,0.36806,0.86672,0.9903,1,0.995,0.93953,0.9903,1,0.995,0.995,0.32853,0.22113,0.28111,0.72983,0.0008012,0.0008012,0.0008012
62,76.4212,0.40191,0.33567,0.36805,0.85961,0.9909,1,0.995,0.929,0.9909,1,0.995,0.995,0.34212,0.21326,0.30351,0.74071,0.00078122,0.00078122,0.00078122
63,77.4921,0.35865,0.28076,0.33086,0.87258,0.99085,1,0.995,0.95577,0.99085,1,0.995,0.995,0.34574,0.20015,0.33935,0.73696,0.00076124,0.00076124,0.00076124
64,78.5615,0.37133,0.30466,0.33731,0.85509,0.99103,1,0.995,0.95089,0.99103,1,0.995,0.995,0.32618,0.20234,0.32241,0.72196,0.00074126,0.00074126,0.00074126
65,79.6162,0.41277,0.30936,0.3833,0.85416,0.99103,1,0.995,0.95089,0.99103,1,0.995,0.995,0.32618,0.20234,0.32241,0.72196,0.00072128,0.00072128,0.00072128
66,80.7045,0.41381,0.37851,0.38329,0.88911,0.99109,1,0.995,0.9561,0.99109,1,0.995,0.995,0.33676,0.22722,0.29977,0.7259,0.0007013,0.0007013,0.0007013
67,81.7715,0.43938,0.36145,0.38527,0.87811,0.99058,1,0.995,0.9514,0.99058,1,0.995,0.995,0.30801,0.2408,0.25385,0.70466,0.00068132,0.00068132,0.00068132
68,82.8265,0.35565,0.30052,0.34552,0.88338,0.99055,1,0.995,0.94616,0.99055,1,0.995,0.995,0.31269,0.23169,0.26603,0.70743,0.00066134,0.00066134,0.00066134
69,83.8794,0.35079,0.26988,0.34514,0.82634,0.99055,1,0.995,0.94616,0.99055,1,0.995,0.995,0.31269,0.23169,0.26603,0.70743,0.00064136,0.00064136,0.00064136
70,84.9552,0.36635,0.30468,0.35066,0.85335,0.99002,1,0.995,0.96798,0.99002,1,0.995,0.995,0.33652,0.22141,0.24819,0.72406,0.00062138,0.00062138,0.00062138
71,86.0118,0.33237,0.28632,0.3249,0.8513,0.99046,1,0.995,0.97211,0.99046,1,0.995,0.995,0.3262,0.19475,0.25121,0.72775,0.0006014,0.0006014,0.0006014
72,87.0879,0.33247,0.26775,0.33836,0.82766,0.99085,1,0.995,0.995,0.99085,1,0.995,0.995,0.30079,0.18236,0.24484,0.7189,0.00058142,0.00058142,0.00058142
73,88.1791,0.34199,0.29842,0.32873,0.83098,0.99085,1,0.995,0.995,0.99085,1,0.995,0.995,0.30079,0.18236,0.24484,0.7189,0.00056144,0.00056144,0.00056144
74,89.2848,0.35499,0.28475,0.32227,0.84463,0.9912,1,0.995,0.995,0.9912,1,0.995,0.995,0.2743,0.18331,0.23787,0.70384,0.00054146,0.00054146,0.00054146
75,90.3939,0.38367,0.25265,0.34005,0.89064,0.99112,1,0.995,0.995,0.99112,1,0.995,0.995,0.26164,0.18663,0.21993,0.6908,0.00052148,0.00052148,0.00052148
